country,eez_area
France,11691000
United States,11351000
Australia,8505348
Russia,7566673
United Kingdom,6805586
Indonesia,6159032
Canada,5599077
Japan,4479388
New Zealand,4083744
Chile,3681989
Brazil,3660955
Kiribati,3441810
Mexico,3269386
Federated States of Micronesia,2996419
Denmark,2551238
Papua New Guinea,2402288
Norway,2385178
India,2305143
Marshall Islands,1990530
Portugal,1727408
Philippines,1590780
Solomon Islands,1589477
South Africa,1535538
Seychelles,1336559
Mauritius,1284997
Fiji,1282978
Madagascar,1225259
Argentina,1159063
Ecuador,1077231
Spain,1039233
Maldives,923322
Peru,906454
China,877019
Somalia,825052
Colombia,808158
Cape Verde,800561
Iceland,751345
Tuvalu,749790
Vanuatu,663251
Tonga,659558
Bahamas,654715
Palau,603978
Mozambique,578986
Morocco,575230
Costa Rica,574725
Namibia,564748
Yemen,552669
Italy,541915
Oman,533180
Myanmar,532775
Sri Lanka,532619
Angola,518433
Greece,505572
South Korea,475469
Venezuela,471507
Vietnam,417663
Ireland,410310
Libya,351589
Cuba,350751
Panama,335646
Malaysia,334671
Nauru,308480
Equatorial Guinea,303509
Thailand,299397
Pakistan,290000
Egypt,263451
Turkey,261654
Jamaica,258137
Dominican Republic,255898
Liberia,249734
Honduras,249542
Tanzania,241888
Ghana,235349
Saudi Arabia,228633
Nigeria,217313
Sierra Leone,215611
Gabon,202790
Barbados,186898
Iran,168718
Mauritania,165338
Comoros,163752
Sweden,160885
Senegal,158861
Netherlands,154011
Ukraine,147318
Uruguay,142166
Guyana,137765
North Korea,132826
Samoa,127950
Suriname,127772
Haiti,126760
Algeria,126353
Nicaragua,123881
Guinea-Bissau,123725
Kenya,116942
Guatemala,114170
Antigua and Barbuda,110089
Tunisia,101857
Cyprus,98707
El Salvador,90962
Finland,87171
Bangladesh,86392
Taiwan,83231
Eritrea,77728
Trinidad and Tobago,74199
East Timor,70326
Sudan,68148
Cambodia,62515
Guinea,59426
Croatia,59032
United Arab Emirates,58218
Germany,57485
Malta,54823
Estonia,36992
Saint Vincent and the Grenadines,36302
Belize,35351
Bulgaria,34307
Benin,33221
Qatar,31590
Congo Republic of the,31017
Poland,29797
Dominica,28985
Latvia,28452
Grenada,27426
Israel,26352
Romania,23627
Gambia,23112
Georgia,21946
Lebanon,19516
Cameroon,16547
Saint Lucia,15617
Albania,13691
Togo,12045
Kuwait,11026
Syria,10503
Bahrain,10225
Brunei,10090
Saint Kitts and Nevis,9974
Montenegro,7745
Djibouti,7459
Lithuania,7031
Belgium,3447
Democratic Republic of the Congo,1606
Singapore,1067
Iraq,771
Monaco,288
Palestine,256
Slovenia,220
Jordan,166
Bosnia and Herzegovina,50
